Cutoff,Array Size,Serial Time,Parallel Time
0,100000,0.011,0.0108333
0,200000,0.024,0.0245
0,300000,0.0386667,0.0381667
0,400000,0.0521667,0.052
0,500000,0.0673333,0.065
0,600000,0.0811667,0.0805
0,700000,0.0933333,0.0928333
0,800000,0.0913333,0.0915
0,900000,0.102833,0.1025
0,1000000,0.142333,0.1475
1,100000,0.0123333,0.0075
1,200000,0.0288333,0.0141667
1,300000,0.044,0.0238333
1,400000,0.0558333,0.0301667
1,500000,0.0713333,0.0378333
1,600000,0.0838333,0.044
1,700000,0.094,0.0468333
1,800000,0.0961667,0.0495
1,900000,0.108833,0.0568333
1,1000000,0.120667,0.0695
2,100000,0.0126667,0.00433333
2,200000,0.029,0.0101667
2,300000,0.0425,0.018
2,400000,0.0563333,0.0188333
2,500000,0.071,0.0293333
2,600000,0.108167,0.0371667
2,700000,0.121833,0.0538333
2,800000,0.0881667,0.035
2,900000,0.101,0.0363333
2,1000000,0.1125,0.0388333
3,100000,0.0111667,0.00416667
3,200000,0.0253333,0.00916667
3,300000,0.0385,0.0135
3,400000,0.051,0.0198333
3,500000,0.0711667,0.0283333
3,600000,0.0901667,0.0298333
3,700000,0.097,0.0298333
3,800000,0.107333,0.0285
3,900000,0.124667,0.0378333
3,1000000,0.166333,0.0506667
4,100000,0.00983333,0.00333333
4,200000,0.0245,0.008
4,300000,0.043,0.0131667
4,400000,0.0551667,0.0158333
4,500000,0.0698333,0.022
4,600000,0.0901667,0.0278333
4,700000,0.111,0.0296667
4,800000,0.109,0.0266667
4,900000,0.1125,0.0333333
4,1000000,0.136167,0.0361667
5,100000,0.0136667,0.005
5,200000,0.0271667,0.00916667
5,300000,0.0443333,0.0136667
5,400000,0.0621667,0.0195
5,500000,0.0733333,0.0228333
5,600000,0.119,0.0308333
5,700000,0.117833,0.0348333
5,800000,0.140833,0.0351667
5,900000,0.119333,0.0318333
5,1000000,0.132,0.0336667
6,100000,0.0118333,0.005
6,200000,0.0263333,0.00983333
6,300000,0.049,0.0158333
6,400000,0.0621667,0.0186667
6,500000,0.074,0.0325
6,600000,0.0911667,0.0268333
6,700000,0.104167,0.0315
6,800000,0.1155,0.0328333
6,900000,0.116833,0.0315
6,1000000,0.144667,0.0403333
7,100000,0.0128333,0.008
7,200000,0.0273333,0.0115
7,300000,0.046,0.0171667
7,400000,0.062,0.031
7,500000,0.079,0.0253333
7,600000,0.0948333,0.0291667
7,700000,0.0986667,0.0313333
7,800000,0.105667,0.0298333
7,900000,0.116,0.0321667
7,1000000,0.1325,0.0433333
8,100000,0.0155,0.0156667
8,200000,0.032,0.019
8,300000,0.0463333,0.0241667
8,400000,0.0688333,0.0281667
8,500000,0.0735,0.0445
8,600000,0.127333,0.0423333
8,700000,0.144167,0.042
8,800000,0.0938333,0.0306667
8,900000,0.116833,0.0358333
8,1000000,0.126667,0.0391667
9,100000,0.0166667,0.0306667
9,200000,0.0336667,0.0321667
9,300000,0.0486667,0.033
9,400000,0.0621667,0.038
9,500000,0.0765,0.043
9,600000,0.0895,0.0413333
9,700000,0.102333,0.0415
9,800000,0.098,0.0401667
9,900000,0.1155,0.0435
9,1000000,0.146667,0.0503333
10,100000,0.0146667,0.0496667
10,200000,0.0298333,0.0496667
10,300000,0.0416667,0.0511667
10,400000,0.0566667,0.0553333
10,500000,0.0718333,0.0586667
10,600000,0.086,0.0651667
10,700000,0.0913333,0.0541667
10,800000,0.104833,0.058
10,900000,0.113167,0.0605
10,1000000,0.123,0.0613333
11,100000,0.0148333,0.0885
11,200000,0.0303333,0.0996667
11,300000,0.0603333,0.115333
11,400000,0.0726667,0.1205
11,500000,0.0905,0.1115
11,600000,0.118667,0.119833
11,700000,0.100667,0.0861667
11,800000,0.0981667,0.0868333
11,900000,0.118333,0.0996667
11,1000000,0.133,0.100167
