Cutoff,Array Size,Parallel Time
0.000000,100000.000000,0.000000
0.000000,109090.909091,0.000000
0.000000,118181.818182,0.000000
0.000000,127272.727273,0.000000
0.000000,136363.636364,0.000000
0.000000,145454.545455,0.000000
0.000000,154545.454545,0.000000
0.000000,163636.363636,0.000000
0.000000,172727.272727,0.000000
0.000000,181818.181818,0.000000
0.000000,190909.090909,0.000000
0.000000,200000.000000,0.000000
0.000000,209090.909091,0.000000
0.000000,218181.818182,0.000000
0.000000,227272.727273,0.000000
0.000000,236363.636364,0.000000
0.000000,245454.545455,0.000000
0.000000,254545.454545,0.000000
0.000000,263636.363636,0.000000
0.000000,272727.272727,0.000000
0.000000,281818.181818,0.000000
0.000000,290909.090909,0.000000
0.000000,300000.000000,0.000000
0.000000,309090.909091,0.000000
0.000000,318181.818182,0.000000
0.000000,327272.727273,0.000000
0.000000,336363.636364,0.000000
0.000000,345454.545455,0.000000
0.000000,354545.454545,0.000000
0.000000,363636.363636,0.000000
0.000000,372727.272727,0.000000
0.000000,381818.181818,0.000000
0.000000,390909.090909,0.000000
0.000000,400000.000000,0.000000
0.000000,409090.909091,0.000000
0.000000,418181.818182,0.000000
0.000000,427272.727273,0.000000
0.000000,436363.636364,0.000000
0.000000,445454.545455,0.000000
0.000000,454545.454545,0.000000
0.000000,463636.363636,0.000000
0.000000,472727.272727,0.000000
0.000000,481818.181818,0.000000
0.000000,490909.090909,0.000000
0.000000,500000.000000,0.000000
0.000000,509090.909091,0.000000
0.000000,518181.818182,0.000000
0.000000,527272.727273,0.000000
0.000000,536363.636364,0.000000
0.000000,545454.545455,0.000000
0.000000,554545.454545,0.000000
0.000000,563636.363636,0.000000
0.000000,572727.272727,0.000000
0.000000,581818.181818,0.000000
0.000000,590909.090909,0.000000
0.000000,600000.000000,0.000000
0.000000,609090.909091,0.000000
0.000000,618181.818182,0.000000
0.000000,627272.727273,0.000000
0.000000,636363.636364,0.000000
0.000000,645454.545455,0.000000
0.000000,654545.454545,0.000000
0.000000,663636.363636,0.000000
0.000000,672727.272727,0.000000
0.000000,681818.181818,0.000000
0.000000,690909.090909,0.000000
0.000000,700000.000000,0.000000
0.000000,709090.909091,0.000000
0.000000,718181.818182,0.000000
0.000000,727272.727273,0.000000
0.000000,736363.636364,0.000000
0.000000,745454.545455,0.000000
0.000000,754545.454545,0.000000
0.000000,763636.363636,0.000000
0.000000,772727.272727,0.000000
0.000000,781818.181818,0.000000
0.000000,790909.090909,0.000000
0.000000,800000.000000,0.000000
0.000000,809090.909091,0.000000
0.000000,818181.818182,0.000000
0.000000,827272.727273,0.000000
0.000000,836363.636364,0.000000
0.000000,845454.545455,0.000000
0.000000,854545.454545,0.000000
0.000000,863636.363636,0.000000
0.000000,872727.272727,0.000000
0.000000,881818.181818,0.000000
0.000000,890909.090909,0.000000
0.000000,900000.000000,0.000000
0.000000,909090.909091,0.000000
0.000000,918181.818182,0.000000
0.000000,927272.727273,0.000000
0.000000,936363.636364,0.000000
0.000000,945454.545455,0.000000
0.000000,954545.454545,0.000000
0.000000,963636.363636,0.000000
0.000000,972727.272727,0.000000
0.000000,981818.181818,0.000000
0.000000,990909.090909,0.000000
0.000000,1000000.000000,0.000000
0.070707,100000.000000,0.000000
0.070707,109090.909091,0.011011
0.070707,118181.818182,0.011892
0.070707,127272.727273,0.012774
0.070707,136363.636364,0.013656
0.070707,145454.545455,0.014538
0.070707,154545.454545,0.015419
0.070707,163636.363636,0.016301
0.070707,172727.272727,0.017183
0.070707,181818.181818,0.018065
0.070707,190909.090909,0.018947
0.070707,200000.000000,0.019828
0.070707,209090.909091,0.020838
0.070707,218181.818182,0.021848
0.070707,227272.727273,0.022859
0.070707,236363.636364,0.023869
0.070707,245454.545455,0.024879
0.070707,254545.454545,0.025889
0.070707,263636.363636,0.026899
0.070707,272727.272727,0.027909
0.070707,281818.181818,0.028919
0.070707,290909.090909,0.029929
0.070707,300000.000000,0.030939
0.070707,309090.909091,0.031909
0.070707,318181.818182,0.032878
0.070707,327272.727273,0.033848
0.070707,336363.636364,0.034817
0.070707,345454.545455,0.035787
0.070707,354545.454545,0.036756
0.070707,363636.363636,0.037726
0.070707,372727.272727,0.038695
0.070707,381818.181818,0.039665
0.070707,390909.090909,0.040634
0.070707,400000.000000,0.041604
0.070707,409090.909091,0.042781
0.070707,418181.818182,0.043958
0.070707,427272.727273,0.045136
0.070707,436363.636364,0.046313
0.070707,445454.545455,0.047491
0.070707,454545.454545,0.048668
0.070707,463636.363636,0.049846
0.070707,472727.272727,0.051023
0.070707,481818.181818,0.052201
0.070707,490909.090909,0.053378
0.070707,500000.000000,0.054556
0.070707,509090.909091,0.055570
0.070707,518181.818182,0.056585
0.070707,527272.727273,0.057600
0.070707,536363.636364,0.058615
0.070707,545454.545455,0.059630
0.070707,554545.454545,0.060645
0.070707,563636.363636,0.061660
