Cutoff,Array Size,Parallel Time
0.000000,100000.000000,0.000000
0.000000,109090.909091,0.000000
0.000000,118181.818182,0.000000
0.000000,127272.727273,0.000000
0.000000,136363.636364,0.000000
0.000000,145454.545455,0.000000
0.000000,154545.454545,0.000000
0.000000,163636.363636,0.000000
0.000000,172727.272727,0.000000
0.000000,181818.181818,0.000000
0.000000,190909.090909,0.000000
0.000000,200000.000000,0.000000
0.000000,209090.909091,0.000000
0.000000,218181.818182,0.000000
0.000000,227272.727273,0.000000
0.000000,236363.636364,0.000000
0.000000,245454.545455,0.000000
0.000000,254545.454545,0.000000
0.000000,263636.363636,0.000000
0.000000,272727.272727,0.000000
0.000000,281818.181818,0.000000
0.000000,290909.090909,0.000000
0.000000,300000.000000,0.000000
0.000000,309090.909091,0.000000
0.000000,318181.818182,0.000000
0.000000,327272.727273,0.000000
0.000000,336363.636364,0.000000
0.000000,345454.545455,0.000000
0.000000,354545.454545,0.000000
0.000000,363636.363636,0.000000
0.000000,372727.272727,0.000000
0.000000,381818.181818,0.000000
0.000000,390909.090909,0.000000
0.000000,400000.000000,0.000000
0.000000,409090.909091,0.000000
0.000000,418181.818182,0.000000
0.000000,427272.727273,0.000000
0.000000,436363.636364,0.000000
0.000000,445454.545455,0.000000
0.000000,454545.454545,0.000000
0.000000,463636.363636,0.000000
0.000000,472727.272727,0.000000
0.000000,481818.181818,0.000000
0.000000,490909.090909,0.000000
0.000000,500000.000000,0.000000
0.000000,509090.909091,0.000000
0.000000,518181.818182,0.000000
0.000000,527272.727273,0.000000
0.000000,536363.636364,0.000000
0.000000,545454.545455,0.000000
0.000000,554545.454545,0.000000
0.000000,563636.363636,0.000000
0.000000,572727.272727,0.000000
0.000000,581818.181818,0.000000
0.000000,590909.090909,0.000000
0.000000,600000.000000,0.000000
0.000000,609090.909091,0.000000
0.000000,618181.818182,0.000000
0.000000,627272.727273,0.000000
0.000000,636363.636364,0.000000
0.000000,645454.545455,0.000000
0.000000,654545.454545,0.000000
0.000000,663636.363636,0.000000
0.000000,672727.272727,0.000000
0.000000,681818.181818,0.000000
0.000000,690909.090909,0.000000
0.000000,700000.000000,0.000000
0.000000,709090.909091,0.000000
0.000000,718181.818182,0.000000
0.000000,727272.727273,0.000000
0.000000,736363.636364,0.000000
0.000000,745454.545455,0.000000
0.000000,754545.454545,0.000000
0.000000,763636.363636,0.000000
0.000000,772727.272727,0.000000
0.000000,781818.181818,0.000000
0.000000,790909.090909,0.000000
0.000000,800000.000000,0.000000
0.000000,809090.909091,0.000000
0.000000,818181.818182,0.000000
0.000000,827272.727273,0.000000
0.000000,836363.636364,0.000000
0.000000,845454.545455,0.000000
0.000000,854545.454545,0.000000
0.000000,863636.363636,0.000000
0.000000,872727.272727,0.000000
0.000000,881818.181818,0.000000
0.000000,890909.090909,0.000000
0.000000,900000.000000,0.000000
0.000000,909090.909091,0.000000
0.000000,918181.818182,0.000000
0.000000,927272.727273,0.000000
0.000000,936363.636364,0.000000
0.000000,945454.545455,0.000000
0.000000,954545.454545,0.000000
0.000000,963636.363636,0.000000
0.000000,972727.272727,0.000000
0.000000,981818.181818,0.000000
0.000000,990909.090909,0.000000
0.000000,1000000.000000,0.000000
0.111111,100000.000000,0.000000
0.111111,109090.909091,0.011635
0.111111,118181.818182,0.012806
0.111111,127272.727273,0.013978
0.111111,136363.636364,0.015150
0.111111,145454.545455,0.016322
0.111111,154545.454545,0.017493
0.111111,163636.363636,0.018665
0.111111,172727.272727,0.019837
0.111111,181818.181818,0.021008
0.111111,190909.090909,0.022180
0.111111,200000.000000,0.023352
0.111111,209090.909091,0.024554
0.111111,218181.818182,0.025756
0.111111,227272.727273,0.026958
0.111111,236363.636364,0.028160
0.111111,245454.545455,0.029362
0.111111,254545.454545,0.030564
0.111111,263636.363636,0.031766
0.111111,272727.272727,0.032968
0.111111,281818.181818,0.034170
0.111111,290909.090909,0.035372
0.111111,300000.000000,0.036574
0.111111,309090.909091,0.037756
0.111111,318181.818182,0.038938
0.111111,327272.727273,0.040120
0.111111,336363.636364,0.041301
0.111111,345454.545455,0.042483
0.111111,354545.454545,0.043665
0.111111,363636.363636,0.044847
0.111111,372727.272727,0.046029
0.111111,381818.181818,0.047210
0.111111,390909.090909,0.048392
0.111111,400000.000000,0.049574
0.111111,409090.909091,0.050702
0.111111,418181.818182,0.051830
0.111111,427272.727273,0.052958
0.111111,436363.636364,0.054086
0.111111,445454.545455,0.055214
0.111111,454545.454545,0.056342
0.111111,463636.363636,0.057470
0.111111,472727.272727,0.058598
0.111111,481818.181818,0.059726
0.111111,490909.090909,0.060854
0.111111,500000.000000,0.061981
0.111111,509090.909091,0.063296
0.111111,518181.818182,0.064611
0.111111,527272.727273,0.065926
0.111111,536363.636364,0.067241
0.111111,545454.545455,0.068556
0.111111,554545.454545,0.069870
0.111111,563636.363636,0.071185
